city,location_code,daily_energy_consumption_kwh,roof_area_sqm,load_shedding_hours,solar_irradiance_kwh_per_m2,sun_hours,avg_temp_c,recommended_system_size_kw,estimated_cost_pkr
Quetta,QTA,25.523945710925123,25.503043695984914,8,5.4,5.4,24,5.92,947963.0
Quetta,QTA,9.277839467700389,45.98528437324806,6,5.4,5.4,24,2.54,405781.0
Bahawalpur,BWP,23.577596711513003,20.617534828874074,2,5.5,5.5,29,5.78,925184.0
Karachi,KHI,12.000149278556213,25.502135295603015,6,5.8,5.8,32,2.77,443989.0
Karachi,KHI,19.544641495909232,32.95835055926347,0,5.8,5.8,32,3.95,631212.0
Bahawalpur,BWP,14.4271822677748,30.99085529881075,10,5.5,5.5,29,3.6,576484.0
Hyderabad,HYD,25.2738711506463,25.99021346475079,12,5.7,5.7,31,5.9,944766.0
Multan,MUL,21.365986741831644,25.115723710618745,12,5.6,5.6,30,5.18,828412.0
Karachi,KHI,28.87548181957333,48.96896099223678,2,5.8,5.8,32,6.59,1054640.0
Karachi,KHI,23.05312658326745,33.20457481218804,12,5.8,5.8,32,5.29,846524.0
Peshawar,PEW,18.893892022447943,21.031655633456552,10,5.1,5.1,27,4.64,743183.0
Peshawar,PEW,14.85764367396704,35.602040635334326,2,5.1,5.1,27,3.8,608785.0
Peshawar,PEW,12.066798021561596,49.08753883293676,2,5.1,5.1,27,2.81,449779.0
Peshawar,PEW,21.153799533843873,47.6562270506935,10,5.1,5.1,27,5.24,838679.0
Quetta,QTA,19.45835372056812,48.835160730480474,8,5.4,5.4,24,4.45,711896.0
Multan,MUL,20.90852564460466,48.95765921792414,6,5.6,5.6,30,4.8,767847.0
Peshawar,PEW,14.071982004495954,28.888205171122472,8,5.1,5.1,27,3.55,568709.0
Bahawalpur,BWP,8.309756099731858,25.965272122664153,4,5.5,5.5,29,2.08,332176.0
Islamabad,ISB,24.967947627090805,22.221339552022712,12,4.9,4.9,25,7.02,1123036.0
Lahore,LHR,21.712558790206273,29.926940745579476,12,5.2,5.2,28,5.63,901511.0
Quetta,QTA,22.714507558599358,39.9776706985249,6,5.4,5.4,24,5.84,934819.0
Lahore,LHR,16.424391244583376,49.151362861673114,4,5.2,5.2,28,4.27,683813.0
Lahore,LHR,23.87804946562721,27.07954759246867,10,5.2,5.2,28,7.15,1144789.0
Quetta,QTA,10.43959805786029,33.180095055973105,4,5.4,5.4,24,2.46,393449.0
Quetta,QTA,27.706799104817428,34.261106695463354,8,5.4,5.4,24,7.15,1144039.0
Quetta,QTA,21.29718234411198,36.1952327390502,8,5.4,5.4,24,5.26,842169.0
Peshawar,PEW,28.74277855227558,37.96596399465608,4,5.1,5.1,27,7.7,1232457.0
Hyderabad,HYD,18.043760550624025,26.553213116505006,6,5.7,5.7,31,4.47,714429.0
Hyderabad,HYD,27.4321656962151,29.73035063015822,12,5.7,5.7,31,6.32,1010824.0
Lahore,LHR,13.986909486461977,39.43070361624087,0,5.2,5.2,28,3.71,593135.0
Peshawar,PEW,15.756514839351718,29.143437744740872,10,5.1,5.1,27,3.57,571595.0
Multan,MUL,23.233592723585947,28.082370013955646,12,5.6,5.6,30,5.63,900380.0
Islamabad,ISB,15.110464504456615,35.563718652300985,0,4.9,4.9,25,3.98,636071.0
Karachi,KHI,29.173840488726448,27.553468874760924,2,5.8,5.8,32,6.66,1065202.0
Islamabad,ISB,14.619322815968932,28.545214831324028,0,4.9,4.9,25,3.89,622429.0
Bahawalpur,BWP,27.98184949126638,27.186856720009175,2,5.5,5.5,29,6.75,1080789.0
Multan,MUL,18.767960726106388,49.56951362331802,12,5.6,5.6,30,4.72,755824.0
Islamabad,ISB,13.32751864210337,44.09419269139688,8,4.9,4.9,25,3.76,602061.0
Peshawar,PEW,29.635309099686545,31.96473327333659,12,5.1,5.1,27,7.36,1178251.0
Multan,MUL,26.883893705901837,29.778767156056542,6,5.6,5.6,30,6.22,995150.0
Islamabad,ISB,23.645289713636394,44.28503138419146,6,4.9,4.9,25,6.09,974775.0
Lahore,LHR,16.74658446392549,35.5325405158244,0,5.2,5.2,28,4.4,703308.0
Islamabad,ISB,15.503459723105687,23.40420563721767,12,4.9,4.9,25,4.61,738170.0
Quetta,QTA,22.51964901275194,44.51666600603647,0,5.4,5.4,24,5.67,907297.0
Peshawar,PEW,19.652312723832143,27.25556872701355,10,5.1,5.1,27,4.77,762868.0
Islamabad,ISB,23.407872259400968,45.399834267149174,6,4.9,4.9,25,6.75,1079793.0
Bahawalpur,BWP,16.899178796688183,46.633102962828794,6,5.5,5.5,29,4.14,662900.0
Islamabad,ISB,16.19022086435835,48.20400327373335,0,4.9,4.9,25,4.59,734746.0
Multan,MUL,14.246261444224245,29.1609158103318,2,5.6,5.6,30,3.57,571190.0
Lahore,LHR,11.870355558901599,20.542260908465625,10,5.2,5.2,28,3.25,519255.0
Multan,MUL,11.934099602869233,30.994063537485797,12,5.6,5.6,30,2.71,432812.0
Bahawalpur,BWP,10.060844892218034,31.031474091783004,12,5.5,5.5,29,2.57,411798.0
Hyderabad,HYD,13.36777215433984,49.190316642573364,8,5.7,5.7,31,3.27,523091.0
Islamabad,ISB,25.485848677916266,35.079112793155765,6,4.9,4.9,25,6.92,1107939.0
Quetta,QTA,18.835389264015006,25.857289633941335,8,5.4,5.4,24,5.3,847693.0
Bahawalpur,BWP,22.200390509957693,25.31332038221147,6,5.5,5.5,29,5.37,859763.0
Hyderabad,HYD,28.986428694056922,47.44593170661346,4,5.7,5.7,31,6.99,1117751.0
Quetta,QTA,29.199639495963563,45.5902836640208,12,5.4,5.4,24,6.51,1041426.0
Multan,MUL,16.472150029242357,45.534100145505704,4,5.6,5.6,30,3.96,634228.0
Quetta,QTA,26.572689095978852,47.90050504432496,10,5.4,5.4,24,6.15,984397.0
Bahawalpur,BWP,12.596211787537925,40.13430550472152,12,5.5,5.5,29,3.06,490002.0
Karachi,KHI,15.09611681324921,45.46009384774023,0,5.8,5.8,32,3.27,523527.0
Islamabad,ISB,23.596041932022608,36.584599307237234,2,4.9,4.9,25,6.59,1053766.0
Lahore,LHR,21.453301639044973,22.447825412007212,12,5.2,5.2,28,5.64,902746.0
Lahore,LHR,21.813677128869994,25.82821860536127,10,5.2,5.2,28,5.66,905314.0
Quetta,QTA,8.607568981221503,37.36594686522676,12,5.4,5.4,24,2.14,343048.0
Quetta,QTA,8.790730023528326,33.9679405439738,12,5.4,5.4,24,2.13,340121.0
Karachi,KHI,26.09721233451248,30.805719242337886,6,5.8,5.8,32,6.18,988485.0
Multan,MUL,19.489351721205697,43.09980659295832,6,5.6,5.6,30,4.63,740683.0
Hyderabad,HYD,9.13699786570937,35.94063894704444,12,5.7,5.7,31,2.19,350838.0
Islamabad,ISB,22.023457832960545,41.78274001167985,8,4.9,4.9,25,5.96,953705.0
Islamabad,ISB,17.657371255523994,22.35369144026798,8,4.9,4.9,25,4.69,750067.0
Karachi,KHI,29.17826512291435,45.079403615366175,0,5.8,5.8,32,6.58,1053452.0
Karachi,KHI,11.441614938763893,27.50728694493786,10,5.8,5.8,32,2.65,424149.0
Hyderabad,HYD,23.72111029940137,39.80592130153194,8,5.7,5.7,31,5.62,899840.0
Bahawalpur,BWP,20.195789155250814,38.35162238703057,12,5.5,5.5,29,5.45,871275.0
Islamabad,ISB,13.450081769025465,30.679180359537845,8,4.9,4.9,25,3.6,575645.0
Peshawar,PEW,9.01205812447856,21.221864069569104,10,5.1,5.1,27,2.26,361608.0
Hyderabad,HYD,23.48047290636052,34.22521487261976,2,5.7,5.7,31,5.68,909519.0
Peshawar,PEW,11.810441138020334,33.01554947713919,12,5.1,5.1,27,3.18,508850.0
Karachi,KHI,21.54870215714876,39.052809526029314,2,5.8,5.8,32,4.95,792668.0
Bahawalpur,BWP,22.491259895616793,24.88803281244289,12,5.5,5.5,29,5.66,905362.0
Karachi,KHI,8.58324883191568,37.5732674382039,4,5.8,5.8,32,2.03,325301.0
Islamabad,ISB,22.152340805731768,33.747586714745495,4,4.9,4.9,25,6.34,1014246.0
Islamabad,ISB,28.712225793083554,31.58307913402323,0,4.9,4.9,25,7.37,1178494.0
Multan,MUL,9.52594861925364,23.0233400413228,2,5.6,5.6,30,2.34,373623.0
Multan,MUL,10.077745136630424,40.490203202490704,0,5.6,5.6,30,2.26,361733.0
Karachi,KHI,8.51198258618817,44.43405447766807,0,5.8,5.8,32,2.11,337663.0
Quetta,QTA,10.599626207676437,40.90211496092452,8,5.4,5.4,24,2.68,428144.0
Peshawar,PEW,11.903669963153902,42.51844254922575,4,5.1,5.1,27,3.1,495971.0
Lahore,LHR,24.096250616592084,23.830691882673968,0,5.2,5.2,28,5.97,955487.0
Hyderabad,HYD,20.36106722716302,27.157905793710206,12,5.7,5.7,31,5.04,806324.0
Multan,MUL,24.27799272984224,27.147084572119383,10,5.6,5.6,30,5.78,925438.0
Bahawalpur,BWP,16.571597896822475,28.92905523527933,4,5.5,5.5,29,4.2,672696.0
Lahore,LHR,9.176676528442115,48.75624490649595,4,5.2,5.2,28,2.32,371377.0
Hyderabad,HYD,22.88893789733467,34.47562848927927,2,5.7,5.7,31,5.19,830401.0
Quetta,QTA,9.832257046295712,22.751124417754433,6,5.4,5.4,24,2.57,411837.0
Peshawar,PEW,28.816279943397184,43.43888151413608,12,5.1,5.1,27,7.08,1133265.0
Multan,MUL,28.480440325120437,49.22744625603231,10,5.6,5.6,30,6.07,971589.0
Quetta,QTA,20.010146943629756,41.17494451636084,12,5.4,5.4,24,5.38,860503.0
Peshawar,PEW,23.13666022385086,45.10891622712121,0,5.1,5.1,27,5.92,946840.0
Karachi,KHI,27.621731993089085,24.398144650760763,8,5.8,5.8,32,6.41,1026326.0
Multan,MUL,13.131017593339612,37.43916251680347,8,5.6,5.6,30,3.31,529101.0
Quetta,QTA,27.969261539668018,37.75666216463853,6,5.4,5.4,24,6.74,1078584.0
Hyderabad,HYD,23.579986302830395,34.45000963892346,6,5.7,5.7,31,4.95,792637.0
Karachi,KHI,15.265555638420167,33.03355533464814,8,5.8,5.8,32,3.78,605570.0
Multan,MUL,16.914445909191176,37.14419075615032,6,5.6,5.6,30,4.28,685313.0
Multan,MUL,13.225142368434339,32.00668678616074,6,5.6,5.6,30,3.27,523234.0
Lahore,LHR,9.823609077253792,35.85110363891627,8,5.2,5.2,28,2.53,404423.0
Islamabad,ISB,28.220545736130507,27.589705039677234,4,4.9,4.9,25,8.06,1289069.0
Peshawar,PEW,9.659560035974923,24.98646295727759,0,5.1,5.1,27,2.47,395333.0
Multan,MUL,23.332351229003926,31.5260549413766,12,5.6,5.6,30,6.07,971513.0
